date,totalUsers,engagedSessions,sessions,,,,,,,,,,,,,,,,,,,,,,2026-05-17T04:10:11.957Z
20260320,53378,1225,54301,,,,,,,,,,,,,,,,,,,,,,
20260319,49724,1694,50174,,,,,,,,,,,,,,,,,,,,,,
20260318,31374,2167,31878,,,,,,,,,,,,,,,,,,,,,,
20260321,23291,105,23260,,,,,,,,,,,,,,,,,,,,,,
20260323,19701,2315,20190,,,,,,,,,,,,,,,,,,,,,,
20260423,19193,2755,19262,,,,,,,,,,,,,,,,,,,,,,
20260324,18328,2081,18252,,,,,,,,,,,,,,,,,,,,,,
20260317,18243,3244,18427,,,,,,,,,,,,,,,,,,,,,,
20260413,17593,1819,17408,,,,,,,,,,,,,,,,,,,,,,
20260407,16901,4433,17040,,,,,,,,,,,,,,,,,,,,,,
20260325,16679,1365,16858,,,,,,,,,,,,,,,,,,,,,,
20260422,16450,2185,16339,,,,,,,,,,,,,,,,,,,,,,
20260408,16166,2961,16595,,,,,,,,,,,,,,,,,,,,,,
20260406,16138,1799,16365,,,,,,,,,,,,,,,,,,,,,,
20260429,15501,2187,15294,,,,,,,,,,,,,,,,,,,,,,
20260416,14854,1670,14906,,,,,,,,,,,,,,,,,,,,,,
20260322,14279,1233,14401,,,,,,,,,,,,,,,,,,,,,,
20260326,12712,1230,12895,,,,,,,,,,,,,,,,,,,,,,
20260417,11889,1230,11891,,,,,,,,,,,,,,,,,,,,,,
20260409,11631,1493,11884,,,,,,,,,,,,,,,,,,,,,,
20260316,11546,2037,11622,,,,,,,,,,,,,,,,,,,,,,
20260421,11499,1329,11369,,,,,,,,,,,,,,,,,,,,,,
20260410,11257,1292,11421,,,,,,,,,,,,,,,,,,,,,,
20260506,11156,2036,10792,,,,,,,,,,,,,,,,,,,,,,
20260424,9850,1552,9965,,,,,,,,,,,,,,,,,,,,,,
20260401,9466,1058,9457,,,,,,,,,,,,,,,,,,,,,,
20260402,9167,1020,9382,,,,,,,,,,,,,,,,,,,,,,
20260505,9023,1819,8877,,,,,,,,,,,,,,,,,,,,,,
20260414,8849,1229,8794,,,,,,,,,,,,,,,,,,,,,,
20260327,8736,1187,8924,,,,,,,,,,,,,,,,,,,,,,
20260331,8627,1160,8690,,,,,,,,,,,,,,,,,,,,,,
20260330,8460,1266,8394,,,,,,,,,,,,,,,,,,,,,,
20260515,7633,1068,7782,,,,,,,,,,,,,,,,,,,,,,
20260507,7360,999,7226,,,,,,,,,,,,,,,,,,,,,,
20260403,6780,822,6971,,,,,,,,,,,,,,,,,,,,,,
20260430,6763,1264,6942,,,,,,,,,,,,,,,,,,,,,,
20260513,6721,1333,6661,,,,,,,,,,,,,,,,,,,,,,
20260427,6190,1167,6361,,,,,,,,,,,,,,,,,,,,,,
20260412,6135,816,6236,,,,,,,,,,,,,,,,,,,,,,
20260512,5892,1211,5929,,,,,,,,,,,,,,,,,,,,,,
20260411,5463,512,5432,,,,,,,,,,,,,,,,,,,,,,
20260405,5398,520,5440,,,,,,,,,,,,,,,,,,,,,,
20260504,5381,1074,5302,,,,,,,,,,,,,,,,,,,,,,
20260415,5026,1221,4914,,,,,,,,,,,,,,,,,,,,,,
20260508,4454,681,4519,,,,,,,,,,,,,,,,,,,,,,
20260428,4318,761,4403,,,,,,,,,,,,,,,,,,,,,,
20260514,3987,781,3907,,,,,,,,,,,,,,,,,,,,,,
20260501,3364,619,3389,,,,,,,,,,,,,,,,,,,,,,
20260404,3233,402,3197,,,,,,,,,,,,,,,,,,,,,,
20260511,3112,695,3166,,,,,,,,,,,,,,,,,,,,,,
20260420,3033,693,3046,,,,,,,,,,,,,,,,,,,,,,
20260503,2346,429,2345,,,,,,,,,,,,,,,,,,,,,,
20260418,2041,289,2042,,,,,,,,,,,,,,,,,,,,,,
20260419,1420,317,1418,,,,,,,,,,,,,,,,,,,,,,
20260509,662,152,667,,,,,,,,,,,,,,,,,,,,,,
20260516,563,118,564,,,,,,,,,,,,,,,,,,,,,,
20260425,447,223,455,,,,,,,,,,,,,,,,,,,,,,
20260510,436,162,442,,,,,,,,,,,,,,,,,,,,,,
20260426,435,260,445,,,,,,,,,,,,,,,,,,,,,,
20260328,396,76,396,,,,,,,,,,,,,,,,,,,,,,
20260502,325,137,329,,,,,,,,,,,,,,,,,,,,,,
20260329,166,79,169,,,,,,,,,,,,,,,,,,,,,,
